
Vile Vial
Crucibellite
Berserk Gene
Master Ball
Ultra Ball
Great Ball
Poke Ball
Safari Ball
Net Ball
Dive Ball
Nest Ball
Repeat Ball
Timer Ball
Luxury Ball
Premier Ball
Dusk Ball
Heal Ball
Quick Ball
Cherish Ball
Berry Juice
Sun Stone
Moon Stone
Fire Stone
Thunder Stone
Water Stone
Leaf Stone
Root Fossil
Claw Fossil
Helix Fossil
Dome Fossil
Old Amber
Armor Fossil
Skull Fossil
Rare Bone
Shiny Stone
Dusk Stone
Dawn Stone
Oval Stone
Griseous Orb
Douse Drive
Shock Drive
Burn Drive
Chill Drive
Adamant Orb
Lustrous Orb
Mail
Cheri Berry
PRZ Cure Berry
Chesto Berry
Mint Berry
Pecha Berry
PSN Cure Berry
Rawst Berry
Ice Berry
Aspear Berry
Burnt Berry
Leppa Berry
Mystery Berry
Oran Berry
Berry
Persim Berry
Bitter Berry
Lum Berry
Miracle Berry
Sitrus Berry
Gold Berry
Figy Berry
Wiki Berry
Mago Berry
Aguav Berry
Iapapa Berry
Razz Berry
Bluk Berry
Nanab Berry
Wepear Berry
Pinap Berry
Pomeg Berry
Kelpsy Berry
Qualot Berry
Hondew Berry
Grepa Berry
Tamato Berry
Cornn Berry
Magost Berry
Rabuta Berry
Nomel Berry
Spelon Berry
Pamtre Berry
Watmel Berry
Durin Berry
Belue Berry
Occa Berry
Passho Berry
Wacan Berry
Rindo Berry
Yache Berry
Chople Berry
Kebia Berry
Shuca Berry
Coba Berry
Payapa Berry
Tanga Berry
Charti Berry
Kasib Berry
Haban Berry
Colbur Berry
Babiri Berry
Chilan Berry
Liechi Berry
Ganlon Berry
Salac Berry
Petaya Berry
Apicot Berry
Lansat Berry
Starf Berry
Enigma Berry
Micle Berry
Custap Berry
Jaboca Berry
Rowap Berry
Bright Powder
White Herb
Macho Brace
Quick Claw
Mental Herb
Choice Band
King's Rock
Silver Powder
Soul Dew
Deep Sea Tooth
Deep Sea Scale
Focus Band
Scope Lens
Metal Coat
Leftovers
Dragon Scale
Light Ball
Soft Sand
Hard Stone
Miracle Seed
Black Glasses
Black Belt
Magnet
Mystic Water
Sharp Beak
Poison Barb
Never-Melt Ice
Spell Tag
Twisted Spoon
Charcoal
Dragon Fang
Silk Scarf
Pink Bow
Polkadot Bow
Up-Grade
Shell Bell
Sea Incense
Lax Incense
Lucky Punch
Metal Powder
Thick Club
Leek
Stick
Wide Lens
Muscle Band
Wise Glasses
Expert Belt
Light Clay
Life Orb
Power Herb
Toxic Orb
Flame Orb
Quick Powder
Focus Sash
Zoom Lens
Metronome
Iron Ball
Lagging Tail
Destiny Knot
Black Sludge
Icy Rock
Smooth Rock
Heat Rock
Damp Rock
Grip Claw
Choice Scarf
Sticky Barb
Power Bracer
Power Belt
Power Lens
Power Band
Power Anklet
Power Weight
Shed Shell
Big Root
Choice Specs
Flame Plate
Splash Plate
Zap Plate
Meadow Plate
Icicle Plate
Fist Plate
Toxic Plate
Earth Plate
Sky Plate
Mind Plate
Insect Plate
Stone Plate
Spooky Plate
Draco Plate
Dread Plate
Iron Plate
Odd Incense
Rock Incense
Full Incense
Wave Incense
Rose Incense
Protector
Electirizer
Magmarizer
Dubious Disc
Reaper Cloth
Razor Claw
Razor Fang
Fast Ball
Level Ball
Lure Ball
Heavy Ball
Love Ball
Friend Ball
Moon Ball
Sport Ball
Park Ball
Red Orb
Blue Orb
Prism Scale
Eviolite
Float Stone
Rocky Helmet
Air Balloon
Red Card
Ring Target
Binding Band
Absorb Bulb
Cell Battery
Eject Button
Fire Gem
Water Gem
Electric Gem
Grass Gem
Ice Gem
Fighting Gem
Poison Gem
Ground Gem
Flying Gem
Psychic Gem
Bug Gem
Rock Gem
Ghost Gem
Dragon Gem
Dark Gem
Steel Gem
Normal Gem
Cover Fossil
Plume Fossil
Dream Ball
Big Nugget
Weakness Policy
Assault Vest
Pixie Plate
Whipped Dream
Sachet
Luminous Moss
Snowball
Safety Goggles
Gengarite
Gardevoirite
Ampharosite
Venusaurite
Charizardite X
Blastoisinite
Mewtwonite X
Mewtwonite Y
Blazikenite
Medichamite
Houndoominite
Aggronite
Banettite
Tyranitarite
Scizorite
Pinsirite
Aerodactylite
Lucarionite
Abomasite
Kangaskhanite
Gyaradosite
Absolite
Charizardite Y
Alakazite
Heracronite
Mawilite
Manectite
Garchompite
Latiasite
Latiosite
Roseli Berry
Kee Berry
Maranga Berry
Jaw Fossil
Sail Fossil
Fairy Gem
Swampertite
Sceptilite
Sablenite
Altarianite
Galladite
Audinite
Metagrossite
Sharpedonite
Slowbronite
Steelixite
Pidgeotite
Glalitite
Diancite
Cameruptite
Lopunnite
Salamencite
Beedrillite
Normalium Z
Firium Z
Waterium Z
Electrium Z
Grassium Z
Icium Z
Fightinium Z
Poisonium Z
Groundium Z
Flyinium Z
Psychium Z
Buginium Z
Rockium Z
Ghostium Z
Dragonium Z
Darkinium Z
Steelium Z
Fairium Z
Pikanium Z
Bottle Cap
Gold Bottle Cap
Decidium Z
Incinium Z
Primarium Z
Tapunium Z
Marshadium Z
Aloraichium Z
Snorlium Z
Eevium Z
Mewnium Z
Pikashunium Z
Adrenaline Orb
Ice Stone
Beast Ball
Terrain Extender
Protective Pads
Electric Seed
Psychic Seed
Misty Seed
Grassy Seed
Fighting Memory
Flying Memory
Poison Memory
Ground Memory
Rock Memory
Bug Memory
Ghost Memory
Steel Memory
Fire Memory
Water Memory
Grass Memory
Electric Memory
Psychic Memory
Ice Memory
Dragon Memory
Dark Memory
Fairy Memory
Solganium Z
Lunalium Z
Ultranecrozium Z
Mimikium Z
Lycanium Z
Kommonium Z
Rusted Sword
Rusted Shield
Fossilized Bird
Fossilized Fish
Fossilized Drake
Fossilized Dino
Strawberry Sweet
Love Sweet
Berry Sweet
Clover Sweet
Flower Sweet
Star Sweet
Ribbon Sweet
Sweet Apple
Tart Apple
Throat Spray
Eject Pack
Heavy-Duty Boots
Blunder Policy
Room Service
Utility Umbrella
TR00
TR01
TR02
TR03
TR04
TR05
TR06
TR07
TR08
TR09
TR10
TR11
TR12
TR13
TR14
TR15
TR16
TR17
TR18
TR19
TR20
TR21
TR22
TR23
TR24
TR25
TR26
TR27
TR28
TR29
TR30
TR31
TR32
TR33
TR34
TR35
TR36
TR37
TR38
TR39
TR40
TR41
TR42
TR43
TR44
TR45
TR46
TR47
TR48
TR49
TR50
TR51
TR52
TR53
TR54
TR55
TR56
TR57
TR58
TR59
TR60
TR61
TR62
TR63
TR64
TR65
TR66
TR67
TR68
TR69
TR70
TR71
TR72
TR73
TR74
TR75
TR76
TR77
TR78
TR79
TR80
TR81
TR82
TR83
TR84
TR85
TR86
TR87
TR88
TR89
TR90
TR91
TR92
TR93
TR94
TR95
TR96
TR97
TR98
TR99
Cracked Pot
Chipped Pot
Galarica Cuff
Galarica Wreath
Adamant Crystal
Lustrous Globe
Griseous Core
Strange Ball
Malicious Armor
Booster Energy
Ability Shield
Clear Amulet
Mirror Herb
Punching Glove
Covert Cloak
Loaded Dice
Auspicious Armor
Fairy Feather
Syrupy Apple
Unremarkable Teacup
Masterpiece Teacup
Cornerstone Mask
Wellspring Mask
Hearthflame Mask
Metal Alloy
